ID,site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
13335,korogocho,secondary,44,male,Luo,5,0,yes,lowest,lowest,3,Severely insecure
13336,korogocho,primary,27,male,Luo,1,0,yes,lowest,lowest,0,Secure
13338,viwandani,primary,33,female,Kikuyu,1,0,no_(2),middle,middle,2,Moderately insecure
13341,viwandani,secondary,45,male,Luhya,1,0,no_(2),middle,middle,2,Moderately insecure
13342,korogocho,secondary,21,male,Kikuyu,2,0,yes,lowest,second,0,Secure
13344,viwandani,primary,27,male,Kamba,3,1,no_(2),highest,highest,2,Moderately insecure
13347,korogocho,secondary,18,male,Kikuyu,4,0,yes,highest,fourth,3,Severely insecure
13349,korogocho,primary,62,male,Kamba,2,0,no_(2),middle,middle,0,Secure
13350,viwandani,primary,30,male,Kamba,4,0,yes,lowest,lowest,2,Moderately insecure
13352,korogocho,never attended,46,male,Other,9,0,yes,highest,highest,0,Secure
13353,korogocho,never attended,44,female,Other,5,0,yes,lowest,lowest,1,Moderately insecure
13357,korogocho,primary,20,female,Other,2,0,yes,middle,middle,0,Secure
13358,viwandani,primary,31,male,Kamba,1,0,no_(2),lowest,lowest,2,Moderately insecure
13359,viwandani,secondary,34,female,Kamba,2,0,yes,middle,fourth,0,Secure
13362,viwandani,primary,43,male,Kamba,3,0,yes,highest,fourth,0,Secure
13363,korogocho,primary,35,female,Luhya,4,0,yes,highest,fourth,3,Severely insecure
13365,korogocho,secondary,50,female,Kikuyu,2,0,no_(2),highest,fourth,3,Severely insecure
13367,viwandani,primary,49,male,Kikuyu,4,0,yes,highest,highest,0,Secure
13369,korogocho,primary,33,male,Kikuyu,1,0,no_(2),highest,fourth,1,Moderately insecure
13370,viwandani,primary,29,female,Kikuyu,1,0,no_(2),lowest,second,2,Moderately insecure
13371,viwandani,primary,38,male,Kikuyu,2,0,no_(2),highest,highest,2,Moderately insecure
13372,korogocho,primary,32,female,Luo,3,0,no_(2),lowest,lowest,3,Severely insecure
13373,korogocho,primary,61,male,Luo,1,0,no_(2),middle,second,0,Secure
13374,viwandani,secondary,26,male,Kamba,3,1,no_(2),middle,second,0,Secure
13375,viwandani,primary,40,male,Kikuyu,5,1,yes,highest,highest,3,Severely insecure
13376,viwandani,primary,23,male,Kamba,1,0,no_(2),lowest,second,2,Moderately insecure
13377,korogocho,primary,50,male,Luo,7,0,yes,lowest,second,3,Severely insecure
13379,viwandani,secondary,33,male,Kisii,1,0,no_(2),middle,second,0,Secure
13381,viwandani,primary,33,male,Kamba,6,1,yes,highest,highest,0,Secure
13383,viwandani,secondary,42,male,Kisii,2,0,no_(2),middle,fourth,0,Secure
13384,viwandani,secondary,25,male,Kisii,3,1,no_(2),highest,fourth,0,Secure
13386,korogocho,secondary,46,male,Kikuyu,5,1,yes,highest,fourth,3,Severely insecure
13388,viwandani,primary,43,male,Kamba,3,1,no_(2),lowest,second,0,Secure
13389,korogocho,secondary,42,male,Luhya,2,0,no_(2),highest,fourth,1,Moderately insecure
13390,viwandani,primary,55,male,Kamba,2,0,no_(2),highest,highest,0,Secure
13392,korogocho,primary,39,female,Luo,6,1,yes,lowest,lowest,3,Severely insecure
13395,korogocho,never attended,44,male,Other,11,0,yes,highest,highest,0,Secure
13397,viwandani,primary,34,male,Kamba,3,1,yes,lowest,second,3,Severely insecure
13403,viwandani,secondary,28,male,Luhya,3,1,no_(2),highest,highest,2,Moderately insecure
13405,viwandani,secondary,26,male,Luhya,3,1,yes,middle,middle,0,Secure
13407,korogocho,primary,30,male,Luo,4,1,yes,middle,fourth,1,Moderately insecure
13408,viwandani,secondary,52,male,Other,3,0,yes,highest,highest,2,Moderately insecure
13411,viwandani,highest,32,male,Kisii,7,1,yes,highest,highest,0,Secure
13412,viwandani,secondary,27,male,Luhya,3,1,no_(2),middle,middle,2,Moderately insecure
13413,korogocho,secondary,39,male,Kikuyu,7,1,yes,highest,highest,0,Secure
13414,korogocho,primary,44,male,Kikuyu,2,0,no_(2),middle,middle,2,Moderately insecure
13415,viwandani,primary,46,male,Kamba,2,0,no_(2),middle,middle,2,Moderately insecure
13416,korogocho,secondary,29,male,Kikuyu,1,0,no_(2),highest,fourth,3,Severely insecure
13422,viwandani,primary,37,male,Kamba,1,0,no_(2),lowest,second,1,Moderately insecure
13423,korogocho,primary,32,female,Luo,5,1,yes,lowest,second,3,Severely insecure
13425,korogocho,primary,28,male,Kamba,1,0,no_(2),highest,fourth,2,Moderately insecure
13426,korogocho,never attended,74,female,Luo,1,0,no_(2),middle,middle,2,Moderately insecure
13427,viwandani,secondary,37,male,Kamba,7,2,yes,highest,highest,0,Secure
